measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Lao People's Democratic Republic,Both,All Ages,HIV/AIDS,Percent,2019,0.0012504033992422792,0.005370158086489524,0.0004484410879501546
Prevalence,Panama,Both,All Ages,HIV/AIDS,Percent,2019,0.005351531278618088,0.007021053628742682,0.004264430176913876
Prevalence,Japan,Both,All Ages,HIV/AIDS,Percent,2019,0.00037183770556592646,0.0005760599404245225,0.00019618283289205596
Prevalence,Azerbaijan,Both,All Ages,HIV/AIDS,Percent,2019,0.0003445903275418039,0.00048378553406155966,0.000255623617269418
Prevalence,Iraq,Both,All Ages,HIV/AIDS,Percent,2019,6.154686254161013e-05,0.00012924756642567704,2.9772024099448385e-05
Prevalence,Comoros,Both,All Ages,HIV/AIDS,Percent,2019,0.00017279299428856759,0.0005776045023476202,9.845165451889032e-05
Prevalence,Kiribati,Both,All Ages,HIV/AIDS,Percent,2019,0.0003465465677531714,0.00047255282625995065,0.00024856878095725433
Prevalence,Netherlands,Both,All Ages,HIV/AIDS,Percent,2019,0.0013013493015341525,0.0016702579386838432,0.0008841098273860717
Prevalence,Tunisia,Both,All Ages,HIV/AIDS,Percent,2019,0.00027455256714367416,0.0010209467938258443,5.249727918538651e-05
Prevalence,Somalia,Both,All Ages,HIV/AIDS,Percent,2019,0.0019842687759592643,0.0032145482683236864,0.001185973436732537
Prevalence,Bulgaria,Both,All Ages,HIV/AIDS,Percent,2019,0.0002658704715333354,0.00029738528640898176,0.00023597043001249548
Prevalence,Denmark,Both,All Ages,HIV/AIDS,Percent,2019,0.001194471195044563,0.0016305008874584923,0.0008392451305686718
Prevalence,Pakistan,Both,All Ages,HIV/AIDS,Percent,2019,0.00034896459998621696,0.0016805790534217724,3.093437662470573e-05
Prevalence,Liberia,Both,All Ages,HIV/AIDS,Percent,2019,0.00801150283472501,0.011251082186836436,0.005791128862965789
Prevalence,Georgia,Both,All Ages,HIV/AIDS,Percent,2019,0.001288523344027729,0.001938337322622627,0.0008783109697970459
Prevalence,Ecuador,Both,All Ages,HIV/AIDS,Percent,2019,0.002364768508795844,0.0032787990514497813,0.0017515196017453456
Prevalence,Dominican Republic,Both,All Ages,HIV/AIDS,Percent,2019,0.005676964993430552,0.0073640286342079525,0.004353747420295538
Prevalence,Malaysia,Both,All Ages,HIV/AIDS,Percent,2019,0.0018961329316496951,0.002202722421399539,0.0016121179985387644
Prevalence,Croatia,Both,All Ages,HIV/AIDS,Percent,2019,0.0002208425991426379,0.000270801483959725,0.00017446739645216955
Prevalence,Belarus,Both,All Ages,HIV/AIDS,Percent,2019,0.0018834559359764305,0.0024725151971293565,0.0014112484643819798
Prevalence,Venezuela (Bolivarian Republic of),Both,All Ages,HIV/AIDS,Percent,2019,0.0034207607667768977,0.004099923398019849,0.0026910186600367907
Prevalence,Monaco,Both,All Ages,HIV/AIDS,Percent,2019,0.0007710889980532469,0.0023004863635486166,0.000192229235366122
Prevalence,Jordan,Both,All Ages,HIV/AIDS,Percent,2019,5.611268833189303e-05,7.474101460323897e-05,4.566292157037959e-05
Prevalence,Turkey,Both,All Ages,HIV/AIDS,Percent,2019,6.756054283394617e-05,9.645408075262221e-05,4.9708550804365645e-05
Prevalence,Republic of Korea,Both,All Ages,HIV/AIDS,Percent,2019,0.0005871365961131086,0.0009214869191518473,0.0003446275479628337
Prevalence,Sudan,Both,All Ages,HIV/AIDS,Percent,2019,0.002744309342875656,0.0075467754885257,0.0008446358661007621
Prevalence,United Republic of Tanzania,Both,All Ages,HIV/AIDS,Percent,2019,0.027499237851934703,0.03038380817047756,0.025011974459717718
Prevalence,Canada,Both,All Ages,HIV/AIDS,Percent,2019,0.002690068647473416,0.0036910942097162338,0.0017873101715689462
Prevalence,Djibouti,Both,All Ages,HIV/AIDS,Percent,2019,0.01162395988501783,0.020687836499152314,0.00639830513572776
Prevalence,Finland,Both,All Ages,HIV/AIDS,Percent,2019,0.0002600196733887128,0.0003651427475415209,0.0001735163690353665
Prevalence,Benin,Both,All Ages,HIV/AIDS,Percent,2019,0.005729918545667121,0.006908804006707507,0.004608125264758812
Prevalence,Mali,Both,All Ages,HIV/AIDS,Percent,2019,0.005183011895138493,0.00688468224659614,0.0038239097369097558
Prevalence,Norway,Both,All Ages,HIV/AIDS,Percent,2019,0.0006803545362937639,0.000992511808370585,0.00044588364252576203
Prevalence,Marshall Islands,Both,All Ages,HIV/AIDS,Percent,2019,0.0013117857778851463,0.008357148092189928,4.33811870739922e-05
Prevalence,Estonia,Both,All Ages,HIV/AIDS,Percent,2019,0.002565861393977291,0.002918535620366198,0.0022226013709644135
Prevalence,Nauru,Both,All Ages,HIV/AIDS,Percent,2019,0.001524588668843688,0.006213072523722902,0.0001045386347423992
Prevalence,South Sudan,Both,All Ages,HIV/AIDS,Percent,2019,0.012532605653003586,0.026476687108781927,0.004647436237497353
Prevalence,Micronesia (Federated States of),Both,All Ages,HIV/AIDS,Percent,2019,0.009163839966828,0.06673086263458511,0.0002599745592881615
Prevalence,United Arab Emirates,Both,All Ages,HIV/AIDS,Percent,2019,0.0002558312211509601,0.0011175320231203406,2.3036667043013318e-05
Prevalence,Kazakhstan,Both,All Ages,HIV/AIDS,Percent,2019,0.0009696080498103591,0.0012428419031512861,0.0007628721900299805
Prevalence,Portugal,Both,All Ages,HIV/AIDS,Percent,2019,0.003869876899224171,0.00486792945278189,0.003156847816201746
Prevalence,Latvia,Both,All Ages,HIV/AIDS,Percent,2019,0.002072614222896678,0.002490327031641129,0.0017161227980929796
Prevalence,Guyana,Both,All Ages,HIV/AIDS,Percent,2019,0.012610218595684028,0.014814522482301515,0.010756782628648707
Prevalence,France,Both,All Ages,HIV/AIDS,Percent,2019,0.0016525556253847347,0.0022576096251146994,0.0011002932780207917
Prevalence,Brazil,Both,All Ages,HIV/AIDS,Percent,2019,0.004276360843562905,0.005003180102273512,0.0036736815138852822
Prevalence,Maldives,Both,All Ages,HIV/AIDS,Percent,2019,3.4125327983682175e-05,4.91604569297742e-05,2.6007475505440958e-05
Prevalence,Kuwait,Both,All Ages,HIV/AIDS,Percent,2019,7.062925723962342e-05,8.381168331140534e-05,5.874772665148659e-05
Prevalence,Grenada,Both,All Ages,HIV/AIDS,Percent,2019,0.0025147201113496537,0.0030095924237192595,0.0021056287614941455
Prevalence,Peru,Both,All Ages,HIV/AIDS,Percent,2019,0.0025700903099804967,0.003503894973907234,0.0020189669791379605
Prevalence,Germany,Both,All Ages,HIV/AIDS,Percent,2019,0.000991152110764695,0.0012967880202093202,0.0007188278962958884
Prevalence,Papua New Guinea,Both,All Ages,HIV/AIDS,Percent,2019,0.009338012496322915,0.027531434349746316,0.0002570835482557017
Prevalence,China,Both,All Ages,HIV/AIDS,Percent,2019,0.00040462820072447624,0.0007548285411514553,0.00020941829457922544
Prevalence,Singapore,Both,All Ages,HIV/AIDS,Percent,2019,0.0008672567497955681,0.0012795177215416363,0.0005675914661189055
Prevalence,Czechia,Both,All Ages,HIV/AIDS,Percent,2019,0.0001643394113121547,0.0002167735763371147,0.00012063479132623227
Prevalence,Myanmar,Both,All Ages,HIV/AIDS,Percent,2019,0.004058340660816713,0.00447532540320912,0.003658441278139594
Prevalence,United States of America,Both,All Ages,HIV/AIDS,Percent,2019,0.005603957154566901,0.008334838826698315,0.0029494090493052973
Prevalence,Burkina Faso,Both,All Ages,HIV/AIDS,Percent,2019,0.00421287642569242,0.0049957326201034245,0.003585425367062484
Prevalence,Colombia,Both,All Ages,HIV/AIDS,Percent,2019,0.0022646011604190663,0.0028769383523022623,0.0017920231802377082
Prevalence,Eritrea,Both,All Ages,HIV/AIDS,Percent,2019,0.0038846450396063663,0.005268595607721976,0.0028513216815895673
Prevalence,Angola,Both,All Ages,HIV/AIDS,Percent,2019,0.013121520582493648,0.018141552135664936,0.008752313513271789
Prevalence,Zambia,Both,All Ages,HIV/AIDS,Percent,2019,0.06901893512469386,0.07515155564854016,0.06355793554507946
Prevalence,Mauritania,Both,All Ages,HIV/AIDS,Percent,2019,0.0003102521820411396,0.0012660683911060522,0.0001343305776087757
Prevalence,Niue,Both,All Ages,HIV/AIDS,Percent,2019,0.0015456324154738588,0.006080842754423974,0.00010635176318962077
Prevalence,Greece,Both,All Ages,HIV/AIDS,Percent,2019,0.0004468295246320532,0.0006819341675105479,0.00033761347347392376
Prevalence,Uganda,Both,All Ages,HIV/AIDS,Percent,2019,0.034092082104352814,0.03788878095839233,0.030239357921697903
Prevalence,Samoa,Both,All Ages,HIV/AIDS,Percent,2019,0.0012605560300513337,0.007970688964166858,6.973035142648558e-05
Prevalence,Haiti,Both,All Ages,HIV/AIDS,Percent,2019,0.013818670103824595,0.017108007263227906,0.011262870200566759
Prevalence,American Samoa,Both,All Ages,HIV/AIDS,Percent,2019,0.00026530913939574373,0.0005109052601817479,0.00012754862313629694
Prevalence,Sweden,Both,All Ages,HIV/AIDS,Percent,2019,0.000526482847283005,0.0007864905120750637,0.0002763528039340554
Prevalence,Yemen,Both,All Ages,HIV/AIDS,Percent,2019,0.00021724358474233292,0.0008432510703073112,2.337502249529236e-05
Prevalence,Taiwan (Province of China),Both,All Ages,HIV/AIDS,Percent,2019,0.00022689519777432991,0.0003920217272697592,0.00010925126800569774
Prevalence,New Zealand,Both,All Ages,HIV/AIDS,Percent,2019,0.0006126999579113802,0.0008440930938614833,0.0003779925818150383
Prevalence,Cameroon,Both,All Ages,HIV/AIDS,Percent,2019,0.020951068923917977,0.02287930454097658,0.019059605380425993
Prevalence,Montenegro,Both,All Ages,HIV/AIDS,Percent,2019,0.00014753198592608522,0.00018240236714606417,0.0001198260189742699
Prevalence,Hungary,Both,All Ages,HIV/AIDS,Percent,2019,0.00022306925202797938,0.00025918293750601,0.0001788008662879595
Prevalence,Kyrgyzstan,Both,All Ages,HIV/AIDS,Percent,2019,0.001009871676656162,0.0014688597213666412,0.0007101282607918475
Prevalence,Botswana,Both,All Ages,HIV/AIDS,Percent,2019,0.15751594566029115,0.17939042890375553,0.13813188727410047
Prevalence,Morocco,Both,All Ages,HIV/AIDS,Percent,2019,0.00038748739027547085,0.0012534410490541044,4.3050588342048226e-05
Prevalence,Sri Lanka,Both,All Ages,HIV/AIDS,Percent,2019,9.656433444376475e-05,0.00011283979179756776,8.178735964881062e-05
Prevalence,Lebanon,Both,All Ages,HIV/AIDS,Percent,2019,0.00024579257004493947,0.0008478628182230876,2.7814540857188573e-05
Prevalence,Niger,Both,All Ages,HIV/AIDS,Percent,2019,0.001714547402532816,0.002342772788288189,0.0012424891173393015
Prevalence,Ethiopia,Both,All Ages,HIV/AIDS,Percent,2019,0.007571648123429227,0.008419846639697104,0.006824305697879348
Prevalence,Northern Mariana Islands,Both,All Ages,HIV/AIDS,Percent,2019,0.00034621842685730517,0.0006570213584848989,0.0001642496037491243
Prevalence,El Salvador,Both,All Ages,HIV/AIDS,Percent,2019,0.003484775284533951,0.004136868901625452,0.00285937573309959
Prevalence,Jamaica,Both,All Ages,HIV/AIDS,Percent,2019,0.00583985367571377,0.007252528581065917,0.004683935411117672
Prevalence,Democratic People's Republic of Korea,Both,All Ages,HIV/AIDS,Percent,2019,0.0005413215008761508,0.003153539593384999,8.630017313696705e-05
Prevalence,Spain,Both,All Ages,HIV/AIDS,Percent,2019,0.0023748502780493582,0.0027857872569997163,0.002014629115216306
Prevalence,Paraguay,Both,All Ages,HIV/AIDS,Percent,2019,0.0024136797920969897,0.0029468205370432187,0.0019739003434433083
Prevalence,Antigua and Barbuda,Both,All Ages,HIV/AIDS,Percent,2019,0.003264522408152986,0.003707065876179352,0.002787249143400114
Prevalence,Iceland,Both,All Ages,HIV/AIDS,Percent,2019,0.0005990495029603352,0.000787630600318296,0.000493230420382122
Prevalence,Bermuda,Both,All Ages,HIV/AIDS,Percent,2019,0.002899533670437541,0.0032053432161761697,0.0025482188178046162
Prevalence,Saint Lucia,Both,All Ages,HIV/AIDS,Percent,2019,0.0021582833919732247,0.002685613492698104,0.0018529680884129302
Prevalence,Lithuania,Both,All Ages,HIV/AIDS,Percent,2019,0.0007011284638382665,0.0008845060735565436,0.0004788762361155544
Prevalence,Thailand,Both,All Ages,HIV/AIDS,Percent,2019,0.007747410792096036,0.009023330076612265,0.006798789101642558
Prevalence,Switzerland,Both,All Ages,HIV/AIDS,Percent,2019,0.0027142423628106417,0.003687869869186691,0.001737948819507705
Prevalence,Cabo Verde,Both,All Ages,HIV/AIDS,Percent,2019,0.005222856029181791,0.009163690727718677,0.002891499209595917
Prevalence,Mongolia,Both,All Ages,HIV/AIDS,Percent,2019,0.0001312794195256428,0.0002632959725042036,5.129531632353762e-05
Prevalence,Australia,Both,All Ages,HIV/AIDS,Percent,2019,0.0007537100452195928,0.0010334788087188046,0.00048754621266014145
Prevalence,Central African Republic,Both,All Ages,HIV/AIDS,Percent,2019,0.021881786090228734,0.028838933553836713,0.016858866843900006
Prevalence,Libya,Both,All Ages,HIV/AIDS,Percent,2019,0.00022654980120801076,0.0010844624978743928,3.4453913477481574e-05
Prevalence,Malawi,Both,All Ages,HIV/AIDS,Percent,2019,0.05686295528661097,0.061228093165557454,0.05283132700068485
Prevalence,North Macedonia,Both,All Ages,HIV/AIDS,Percent,2019,5.5372920409640727e-05,7.016580302504254e-05,4.400264065994175e-05
Prevalence,Philippines,Both,All Ages,HIV/AIDS,Percent,2019,0.0026794475062233004,0.004679779864576423,0.001366925804873622
Prevalence,Kenya,Both,All Ages,HIV/AIDS,Percent,2019,0.03459747944211103,0.038844862352738506,0.030758032458862435
Prevalence,Democratic Republic of the Congo,Both,All Ages,HIV/AIDS,Percent,2019,0.004399101969949573,0.005454352442414882,0.0035599340039698395
Prevalence,Republic of Moldova,Both,All Ages,HIV/AIDS,Percent,2019,0.0023411266381681236,0.0032659545876570647,0.0016427005008029466
Prevalence,Andorra,Both,All Ages,HIV/AIDS,Percent,2019,0.0013812919064796292,0.005724741538336761,8.819144184521014e-05
Prevalence,Palau,Both,All Ages,HIV/AIDS,Percent,2019,0.0017006769597778361,0.006961446610373568,0.00011425456249022412
Prevalence,Tonga,Both,All Ages,HIV/AIDS,Percent,2019,0.00043141696806380057,0.0009167935999544617,0.00018358259031059804
